CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. WREC_SCORE,Count of WREC_SCORE
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.962184874,238
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.962962963,243
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.968609865,223
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.977272727,88
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.933333333,90
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.945736434,129
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.956521739,92
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.946808511,94
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.967213115,122
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.933333333,120
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.962962963,54
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.972972973,74
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.857142857,42
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.941176471,34
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.847826087,46
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.964285714,56
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.9375,48
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.893617021,47
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.827586207,58
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.883720930,43
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.956521739,46
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,January 2017,NL,CE,0.886075949,79
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,February 2017,NL,CE,0.895833333,48
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,March 2017,NL,CE,0.926470588,68
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,April 2017,NL,CE,0.8875,80
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,May 2017,NL,CE,0.870588235,85
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,June 2017,NL,CE,0.92,125
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,July 2017,NL,CE,0.891666667,120
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,August 2017,NL,CE,0.89,100
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,September 2017,NL,CE,0.811881188,101
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.914285714,70
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.809523810,84
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.821917808,73
