CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELINESS_RATING_SCORE,Count of TIMELINESS_RATING_SCORE
Non-Prog,OH061 CLASSIC HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.857142857,21
Non-Prog,OH061 CLASSIC HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.545454545,11
Non-Prog,OH073 HYUNDAI OF BEDFORD,Non-Prog,CE5,January 2018,NL,CE,3.777777778,9
Non-Prog,OH073 HYUNDAI OF BEDFORD,Non-Prog,CE5,February 2018,NL,CE,3,16
Non-Prog,OH074 ELYRIA HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3,15
Non-Prog,OH074 ELYRIA HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.8,10
Non-Prog,OH076 KEN GANLEY HYUNDAI NORWALK,Non-Prog,CE5,February 2018,NL,CE,4.166666667,6
Non-Prog,WI010 KEN VANCE HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3,1
Non-Prog,WI010 KEN VANCE HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.333333333,3
Non-Prog,WI014 BOUCHER HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.15,20
Non-Prog,WI014 BOUCHER HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,3.636363636,22
Non-Prog,WI016 ZIMBRICK HYUNDAI WEST,Non-Prog,CE6,January 2018,NL,CE,3.470588235,17
Non-Prog,WI016 ZIMBRICK HYUNDAI WEST,Non-Prog,CE6,February 2018,NL,CE,3.909090909,11
Non-Prog,WI021 VAN HORN HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.666666667,9
Non-Prog,WI021 VAN HORN HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4,7
Non-Prog,WI022 JOHN AMATO HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.714285714,21
Non-Prog,WI022 JOHN AMATO HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,3.677419355,31
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,January 2018,NL,CE,3,10
Non-Prog,WI023 VAN HORN HYUNDAI FOND DU LAC,Non-Prog,CE6,February 2018,NL,CE,3,8
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.5,4
Non-Prog,WI025 DAHL HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4,1
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.666666667,3
Non-Prog,WI026 ZIMBRICK EASTSIDE HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4.2,10
