DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cproct,Cproct
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2016,,792
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2016,,859
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2016,,790
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2016,,775
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2016,,606
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2016,,685
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2017,,547
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2017,-15.117891817%,612
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2017,-26.474442988%,561
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2017,-19.230769231%,651
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2017,9.594594595%,811
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2017,-0.936768150%,846
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2017,-9.722222222%,715
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2017,-98.719441211%,11
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,-5.189873418%,749
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,18.322580645%,917
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,36.468646865%,827
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,12.554744526%,771
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,52.650822669%,835
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,15.032679739%,704
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,868
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,930
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2016,,889
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2016,,910
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2016,,967
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2016,,979
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2016,,1011
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2016,,901
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2016,,988
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2016,,719
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2016,,703
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2017,,591
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2017,-41.820276498%,505
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2017,-38.924731183%,568
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2017,-14.623172103%,759
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2017,0.439560440%,914
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2017,4.550155119%,1011
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2017,-8.784473953%,893
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2017,-1.384767557%,997
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,18.201997780%,1065
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,6.680161943%,1054
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,37.273991655%,987
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,35.988620199%,956
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,75.972927242%,1040
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,96.237623762%,991
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,287
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,293
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2016,,333
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2016,,306
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2016,,341
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2016,,316
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2016,,359
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2016,,309
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2016,,307
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2016,,340
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2016,,366
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2017,,307
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2017,-0.696864111%,285
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2017,18.088737201%,346
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2017,-16.816816817%,277
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2017,10.784313725%,339
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2017,6.158357771%,362
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2017,-6.012658228%,297
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2017,6.406685237%,382
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,3.883495146%,321
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,9.446254072%,336
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,-2.647058824%,331
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,-11.748633880%,323
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,19.218241042%,366
IL079 KNAUZ HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,0%,285
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2016,,763
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,March,NL,CE,2016,,777
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,April,NL,CE,2016,,745
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,May,NL,CE,2016,,752
