CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RTN_SCORE,Count of RTN_SCORE
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.396226415,53
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.563636364,55
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.684210526,38
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.148936170,47
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.728813559,59
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.720930233,43
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,3.909090909,11
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,3.5,8
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.555555556,18
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.75,36
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.787878788,33
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.485294118,68
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.314285714,35
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.827956989,186
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.776649746,197
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.813953488,172
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.661375661,189
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.782805430,221
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.834101382,217
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.744186047,172
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.824817518,137
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.755555556,45
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.701612903,124
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.816,125
