CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RECO_BRAND_SCORE,Count of RECO_BRAND_SCORE
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.5,14
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.8,20
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.444444444,18
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.704545455,44
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.52,25
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.357142857,14
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.723404255,47
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.823529412,34
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.602564103,78
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.9,40
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.533333333,15
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.56,25
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.538461538,39
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.589285714,56
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.75,56
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.75,4
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.363636364,11
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.5,12
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.5625,16
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.857142857,14
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.882352941,17
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.628571429,35
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.6,25
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.524390244,82
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.520833333,48
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.727272727,11
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.6,20
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.590909091,22
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.8,20
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.676470588,34
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4,3
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,5,6
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.6,5
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.785714286,14
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.727272727,11
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,5,1
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.55,20
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.521739130,23
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.478260870,23
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.736842105,19
Non-Prog,IN048 NAPLETON HYUNDAI OF CARMEL,Non-Prog,CE3,December 2017,NL,CE,4.815384615,65
Non-Prog,IN048 NAPLETON HYUNDAI OF CARMEL,Non-Prog,CE3,January 2018,NL,CE,4.709677419,155
Non-Prog,IN048 NAPLETON HYUNDAI OF CARMEL,Non-Prog,CE3,February 2018,NL,CE,4.761904762,105
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.583333333,12
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.782608696,23
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.913043478,23
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.634615385,52
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.739130435,46
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,October 2017,NL,CE,5,12
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,November 2017,NL,CE,4.685714286,35
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,December 2017,NL,CE,4.8,25
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,January 2018,NL,CE,4.6,65
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,February 2018,NL,CE,4.388888889,54
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,October 2017,NL,CE,4.6,20
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,November 2017,NL,CE,4.568965517,58
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,December 2017,NL,CE,4.739130435,46
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,January 2018,NL,CE,4.402298851,87
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,February 2018,NL,CE,4.617283951,81
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.434782609,23
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.666666667,69
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.492307692,65
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.5,104
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.376470588,85
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,October 2017,NL,CE,4.428571429,7
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,November 2017,NL,CE,4.407407407,27
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,December 2017,NL,CE,4.645161290,31
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,January 2018,NL,CE,4.320754717,53
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,February 2018,NL,CE,4.108695652,46
Non-Prog,IN041 EVANSVILLE HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.705882353,17
Non-Prog,IN041 EVANSVILLE HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.567567568,37
Non-Prog,IN041 EVANSVILLE HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.794117647,34
Non-Prog,IN041 EVANSVILLE HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.636363636,55
Non-Prog,IN041 EVANSVILLE HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.677966102,59
Non-Prog,IN042 DORSETT'S HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.375,8
Non-Prog,IN042 DORSETT'S HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.571428571,14
Non-Prog,IN042 DORSETT'S HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.466666667,15
Non-Prog,IN042 DORSETT'S HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.684210526,19
Non-Prog,IN042 DORSETT'S HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.736842105,19
Non-Prog,IN049 BACHMAN HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.666666667,3
Non-Prog,IN049 BACHMAN HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.3,10
Non-Prog,IN049 BACHMAN HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.5625,16
Non-Prog,IN049 BACHMAN HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.631578947,19
Non-Prog,IN049 BACHMAN HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.923076923,13
Non-Prog,KY006 SWOPE HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.666666667,3
Non-Prog,KY006 SWOPE HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.6,15
Non-Prog,KY006 SWOPE HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.285714286,14
Non-Prog,KY006 SWOPE HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.772727273,22
Non-Prog,KY006 SWOPE HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.75,12
Non-Prog,KY009 JIM JOHNSON HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.166666667,6
Non-Prog,KY009 JIM JOHNSON HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.933333333,15
Non-Prog,KY009 JIM JOHNSON HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.590909091,22
Non-Prog,KY009 JIM JOHNSON HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.642857143,28
Non-Prog,KY009 JIM JOHNSON HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.695652174,23
Non-Prog,KY016 HYUNDAI OF SOMERSET,Non-Prog,CE4,October 2017,NL,CE,5,9
Non-Prog,KY016 HYUNDAI OF SOMERSET,Non-Prog,CE4,November 2017,NL,CE,4.809523810,21
Non-Prog,KY016 HYUNDAI OF SOMERSET,Non-Prog,CE4,December 2017,NL,CE,5,14
Non-Prog,KY016 HYUNDAI OF SOMERSET,Non-Prog,CE4,January 2018,NL,CE,4.64,25
Non-Prog,KY016 HYUNDAI OF SOMERSET,Non-Prog,CE4,February 2018,NL,CE,4.8125,16
Non-Prog,KY017 GATES HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.857142857,14
Non-Prog,KY017 GATES HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.71875,32
Non-Prog,KY017 GATES HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.540540541,37
Non-Prog,KY017 GATES HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.855263158,76
Non-Prog,KY017 GATES HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.847457627,59
Non-Prog,KY018 OXMOOR HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,5,16
Non-Prog,KY018 OXMOOR HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.692307692,39
Non-Prog,KY018 OXMOOR HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.733333333,45
Non-Prog,KY018 OXMOOR HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4.581081081,74
Non-Prog,KY018 OXMOOR HYUNDAI,Non-Prog,CE4,February 2018,NL,CE,4.707692308,65
Non-Prog,KY021 DON MOORE HYUNDAI,Non-Prog,CE4,October 2017,NL,CE,4.6,5
Non-Prog,KY021 DON MOORE HYUNDAI,Non-Prog,CE4,November 2017,NL,CE,4.857142857,14
Non-Prog,KY021 DON MOORE HYUNDAI,Non-Prog,CE4,December 2017,NL,CE,4.75,16
