DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,29.324003153%,246881.63
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,4.465468083%,185106.74
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,117357.99
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,121063.46
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,139165.07
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,146220.13
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,161309.96
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,146074.81
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,147410.21
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,126375.38
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,161276.27
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,112119.01
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,153785.48
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,101884.17
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-28.864033885%,83483.74
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-1.264568186%,119532.53
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-17.491170737%,114823.47
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,5.832596374%,154748.56
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-17.260496500%,133467.06
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,-2.232130235%,142814.23
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,13.708141383%,167617.41
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,24.236659071%,157004.55
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,-0.625746119%,160267.09
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,13.143560579%,126855.44
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,-7.319429637%,142529.26
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,23.437605665%,125763.38
IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,55.857499916%,130115.67
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,147759.56
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,163231.14
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,168146.84
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,170978.19
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,218924.4
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,175444.19
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,186965.87
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,193322.44
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,159537.5
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,123357.11
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,162270.18
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,123712.44
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-21.375374967%,116175.4
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-33.490680761%,108563.92
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-27.890057286%,121250.59
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,-3.176305703%,165547.4
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-17.048688954%,181600.66
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,-20.932274816%,138719.73
